objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,department,objectName,title,culture,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,metadataDate,repository,objectURL,objectWikidata_URL,isTimelineWork,GalleryNumber,constituents_constituentID,constituents_role,constituents_name,constituents_constituentULAN_URL,constituents_constituentWikidata_URL,measurements_elementName,measurements_elementDescription,elementMeasurements_Diameter,tags_term,tags_AAT_URL,tags_Wikidata_URL,elementMeasurements_Depth,elementMeasurements_Height,measurements_elementMeasurements_Width,measurements_elementMeasurements_Weight
11.0,False,1979.486.2,1979.0,False,,,The American Wing,Coin,Two-and-a-half-dollar Liberty Head Coin,,Maker,,Christian Gobrecht,1785–1844,"Gobrecht, Christian",,1785.0,1844.0,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1907,1907.0,1907.0,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/11,,False,,,,,,,Other,Object diameter,1.7463,Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297,,,,
12.0,False,1979.486.7,1979.0,False,,,The American Wing,Coin,Twenty-dollar Liberty Head Coin,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania","Longacre, James Barton",American,1794.0,1869.0,https://www.wikidata.org/wiki/Q3806459,http://vocab.getty.edu/page/ulan/500011409,1876,1876.0,1876.0,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/12,,False,,,,,,,Other,Object diameter,1.7463,,,,,,,
13.0,False,1979.486.4,1979.0,False,,,The American Wing,Coin,Five-dollar Indian Head Coin,,Maker,,Bela Lyon Pratt,1867–1917,"Pratt, Bela Lyon",,1867.0,1917.0,https://www.wikidata.org/wiki/Q4881787,http://vocab.getty.edu/page/ulan/500095555,1910,1910.0,1910.0,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/13,,False,,1080.0,Maker,Bela Lyon Pratt,http://vocab.getty.edu/page/ulan/500095555,https://www.wikidata.org/wiki/Q4881787,Other,Object diameter,1.7,,,,,,,
14.0,False,1979.486.5,1979.0,False,,,The American Wing,Coin,Five-dollar Liberty Head Coin,,Maker,,Christian Gobrecht,1785–1844,"Gobrecht, Christian",,1785.0,1844.0,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1907,1907.0,1907.0,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/14,,False,,1079.0,Maker,Christian Gobrecht,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,Other,Object diameter,1.7,,,,,,,
15.0,False,16.74.49,1916.0,False,,,The American Wing,Coin,"Coin, 1/2 Real",Mexican,,,,,,,,,,,1665–1700,1665.0,1700.0,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/15,,False,,164292.0,Maker,James Barton Longacre,http://vocab.getty.edu/page/ulan/500011409,https://www.wikidata.org/wiki/Q3806459,Other,Object diameter,1.7,,,,,,,
16.0,False,16.74.27,1916.0,False,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,1800–1900,1800.0,1900.0,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/16,,False,,1080.0,Maker,Bela Lyon Pratt,http://vocab.getty.edu/page/ulan/500095555,https://www.wikidata.org/wiki/Q4881787,Other,Object diameter,1.7,,,,,,,
17.0,False,16.74.28,1916.0,False,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,1867,1867.0,1867.0,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/17,,False,,1079.0,Maker,Christian Gobrecht,http://vocab.getty.edu/page/ulan/500077295,https://www.wikidata.org/wiki/Q5109648,Other,Object diameter,1.7,,,,,,,
18.0,False,16.74.29,1916.0,False,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,1860,1860.0,1860.0,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/18,,False,,,,,,,Other,Object diameter,1.27,,,,,,,
19.0,False,16.74.30,1916.0,False,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,1859,1859.0,1859.0,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/19,,False,,,,,,,Other,Object diameter,2.8575,,,,,,,
20.0,False,16.74.31,1916.0,False,,,The American Wing,Peso,"Coin, 1/4 Peso",Mexican,,,,,,,,,,,1860,1860.0,1860.0,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/20,,False,,,,,,,Other,Object diameter,2.8575,,,,,,,
